OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
126,JAMESTOWN,NEWPORT,15,JA,Y,0.000705378675223771,2.97151081191565e-08
127,MIDDLETOWN,NEWPORT,19,MI,Y,0.00122260938059604,5.91273361316597e-08
128,JAMESTOWN,NEWPORT,15,JA,Y,0.00188290420433367,1.83655212318944e-07
129,JAMESTOWN,NEWPORT,15,JA,Y,0.00189062137585883,1.72596782250593e-07
130,JAMESTOWN,NEWPORT,15,JA,Y,0.000684453665267661,2.87605511696808e-08
131,JAMESTOWN,NEWPORT,15,JA,Y,0.000575339443334198,1.9472522046532e-08
132,JAMESTOWN,NEWPORT,15,JA,Y,0.00142926457226244,6.64906684581309e-08
133,JAMESTOWN,NEWPORT,15,JA,Y,0.00253765020938476,2.6352207390355e-07
134,JAMESTOWN,NEWPORT,15,JA,Y,0.000315113777260507,6.65466629911003e-09
135,MIDDLETOWN,NEWPORT,19,MI,Y,0.000739403937666111,3.61148384465671e-08
136,JAMESTOWN,NEWPORT,15,JA,Y,0.000507942015337967,1.61747748522147e-08
137,MIDDLETOWN,NEWPORT,19,MI,Y,0.00291506609333124,3.75606931503552e-07
138,MIDDLETOWN,NEWPORT,19,MI,Y,0.00126984512604871,8.27243236137839e-08
139,JAMESTOWN,NEWPORT,15,JA,Y,0.000550815620585382,1.95504845343612e-08
140,MIDDLETOWN,NEWPORT,19,MI,Y,0.00120102823334174,7.1864906280921e-08
141,MIDDLETOWN,NEWPORT,19,MI,Y,0.00147028066532513,9.80451085289616e-08
142,JAMESTOWN,NEWPORT,15,JA,Y,0.00202403743137875,2.38437978837662e-07
143,NEWPORT,NEWPORT,21,NE,Y,0.00280350950341519,1.7796007274805e-07
144,JAMESTOWN,NEWPORT,15,JA,Y,0.00282241592507276,2.24875366404358e-07
145,LITTLE COMPTON,NEWPORT,18,LC,Y,0.003840616282643,3.71602364315074e-07
146,LITTLE COMPTON,NEWPORT,18,LC,Y,0.000660070795305905,2.77351672041574e-08
