OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,SHAPE_Length,SHAPE_Area
296,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000900908042442487,3.59586481672195e-08
297,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00299282144723091,4.20513240365091e-07
298,WESTERLY,WASHINGTON,36,WY,Y,1.05466011539035,0.00840802579878365
299,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00462668915545487,7.07574152558975e-07
300,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000903320712699147,5.69040744896453e-08
301,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00329404407916991,5.15111451399873e-07
302,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00469197395500375,1.06227772057047e-06
303,NARRAGANSETT,WASHINGTON,20,NA,Y,0.0332919715502298,1.95572332123675e-05
304,WESTERLY,WASHINGTON,36,WY,Y,0.00749034164668653,2.18312325127193e-06
305,WESTERLY,WASHINGTON,36,WY,Y,0.000551235532298276,1.71362494038582e-08
306,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00534182392139637,1.3607326091001e-06
307,WESTERLY,WASHINGTON,36,WY,Y,8.48173033981588e-05,2.16570642412693e-10
308,NARRAGANSETT,WASHINGTON,20,NA,Y,0.000839311285351977,4.53256695690626e-08
309,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00687737921622002,1.45629948018743e-06
310,NARRAGANSETT,WASHINGTON,20,NA,Y,0.000793811711848576,3.97002784744906e-08
311,NARRAGANSETT,WASHINGTON,20,NA,Y,0.000396700243317835,8.07334953242521e-09
312,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00141846445796198,1.07293606376315e-07
313,NARRAGANSETT,WASHINGTON,20,NA,Y,0.102278630408547,7.43752744196919e-05
314,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00198079341610471,1.23564489129388e-07
315,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00154759904002163,1.02290301900742e-07
316,NARRAGANSETT,WASHINGTON,20,NA,Y,0.000943105521836041,5.35586544488517e-08
317,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0129642351620382,7.32469238873551e-06
318,NARRAGANSETT,WASHINGTON,20,NA,Y,0.0489100393441133,2.57793251433904e-05
319,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00772913811451498,8.87687183335699e-07
320,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000923829596791731,4.70346550683521e-08
321,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00307529227426295,2.95150527746244e-07
322,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0011917431227301,8.08253408655564e-08
323,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00201215388342481,1.07792074452274e-07
324,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000670958461588,2.23202241602792e-08
325,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0012311924894263,7.46539597662e-08
326,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000638875243228492,2.48992358423313e-08
327,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00244598433072706,2.66678416319614e-07
328,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00600343615174228,5.27681082889938e-07
329,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000763252329661624,2.11287460477316e-08
330,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00406643437727473,4.00942480801438e-07
331,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0010559885352128,7.16387888035142e-08
332,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00296802122327024,5.74605997484152e-07
333,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000779083135792158,3.26758596737175e-08
334,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000413974881455487,1.17807028279064e-08
335,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000636359295397929,2.22388698928765e-08
336,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00875977449799283,2.31497389596307e-06
337,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000833326410325682,2.5808954345888e-08
338,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00134677534256084,8.42654809411689e-08
339,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0204019805027047,4.36316366683918e-06
340,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00290083733950616,4.68087918549352e-07
341,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00292067130151636,3.81371117451292e-07
342,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00246814041229904,3.22529068869965e-07
343,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000746860494108429,2.2129248086739e-08
344,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0131450864368248,2.07777431310874e-06
345,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0114920160690055,4.16706478578608e-06
346,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.00363216767372546,4.78450389229503e-07
347,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00157541251823231,1.19056676020899e-07
348,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000822387054932576,4.24378958693682e-08
349,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0149285663278274,4.94375000355844e-06
350,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.000686688764746966,2.98124267912483e-08
351,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0498185231631477,4.33686593061466e-05
352,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00256771990090016,3.49174394475649e-07
353,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00649321852870247,7.71765216829204e-07
354,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00797526477840926,1.39872332303616e-06
355,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000854396517516804,3.38476727703391e-08
356,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00321680980088387,1.85250308113454e-07
357,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00158057340720647,1.15016979870804e-07
358,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00494399137241427,4.92457012456067e-07
359,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00192082762730675,8.00845986262392e-08
360,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00872668669673695,9.09458334310325e-07
361,NARRAGANSETT,WASHINGTON,20,NA,Y,0.0440189961402486,3.35306225996598e-06
362,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00385723758002091,5.68591258763192e-07
363,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00362397402781601,4.56117118805899e-07
364,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00495327589709518,1.01973547042886e-06
365,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00051089801301509,1.66686065231128e-08
366,CHARLESTOWN,WASHINGTON,5,CH,Y,0.00103415513062093,6.52451838961387e-08
367,CHARLESTOWN,WASHINGTON,5,CH,Y,0.000723579845350723,3.11931030375386e-08
