Species,Long,Lat
Manatee,-80.045967,26.806285
Manatee,-80.044237,26.809545
Manatee,-80.038507,26.813765
Manatee,-80.049197,26.832185
Manatee,-80.058017,26.830175
Manatee,-80.066277,26.840455
Manatee,-80.066177,26.871175
Manatee,-80.088917,26.941325
Manatee,-80.133017,26.938825
Manatee,-80.192207,26.076355
Manatee,-80.192177,26.075105
Manatee,-80.192217,26.074685
Manatee,-80.191577,26.073655
Manatee,-80.192117,26.072715
Manatee,-80.191777,26.072375
Manatee,-80.191557,26.071775
Manatee,-80.191937,26.070655
Manatee,-80.192057,26.070395
Manatee,-80.192587,26.070385
Manatee,-80.192997,26.070265
Manatee,-80.116987,26.078425
Manatee,-80.117867,26.078435
Manatee,-80.117227,26.077515
Manatee,-80.118647,26.077445
Manatee,-80.119007,26.077105
Manatee,-80.119697,26.078375
Manatee,-80.120047,26.079575
Manatee,-80.120167,26.079825
Manatee,-80.119897,26.080705
Manatee,-80.120167,26.081845
Manatee,-80.120427,26.082705
Manatee,-80.120677,26.082935
Manatee,-82.598417,28.799305
Manatee,-82.645977,28.524825
Manatee,-82.637407,28.536395
Manatee,-82.626397,28.542765
Manatee,-82.624807,28.544865
Manatee,-82.635687,28.538115
Manatee,-82.702997,28.958795
Manatee,-82.706217,28.959005
Manatee,-82.682157,29.008395
Manatee,-82.720687,28.959835
Manatee,-80.130307,26.940655
Manatee,-80.124987,26.943175
Manatee,-80.126827,26.943005
Manatee,-80.080187,26.957615
Manatee,-80.081357,26.958515
Manatee,-80.191037,26.074295
Manatee,-80.192017,26.076465
Manatee,-80.191817,26.073925
Manatee,-80.192157,26.070445
Manatee,-80.192607,26.070445
Manatee,-80.117697,26.077295
Manatee,-80.119067,26.077225
Manatee,-80.119767,26.078405
Manatee,-80.120267,26.079815
Manatee,-80.120137,26.081945
Manatee,-80.124007,26.082945
Manatee,-80.124307,26.083445
Manatee,-80.124767,26.084145
Manatee,-80.125437,26.084235
Manatee,-80.047637,26.747575
